# Title : in-situ platforms catalog
# Description : catalog of available in-situ platforms
# Project :  Copernicus Marine In Situ TAC
# Format version : 1.4
# Date of update : 2021-02-12T15:30:57Z
# platform_code,date_creation,date_update,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
EXOC1487,2020-01-26T19:08:30Z,2020-01-26T19:08:30Z, ,GL_PR_CT_EXOC1487,Unknown institution, ,DEPH PSAL TEMP,42.65000,35.27000,1976-07-11T15:00:00Z
EXOC1522,2019-09-07T03:19:21Z,2019-09-07T03:19:21Z, ,GL_PR_CT_EXOC1522,Unknown institution, ,DEPH PRES PSAL DOX1 TEMP PHPH ALK3,44.37000,34.00000,1932-03-18T16:00:00Z
EXOC1551,2020-01-26T19:12:32Z,2020-01-26T19:12:32Z, ,GL_PR_CT_EXOC1551,Unknown institution, ,DEPH TEMP DOX1 PSAL PHPH,46.72000,38.27000,1995-10-08T12:04:12Z
EXOC1576,2020-01-26T19:13:38Z,2020-01-26T19:13:38Z, ,GL_PR_CT_EXOC1576,Unknown institution, ,DEPH TEMP,44.70000,37.83333,2005-03-10T11:00:00Z
EXOC1614,2020-01-26T19:17:39Z,2020-01-26T19:17:39Z, ,GL_PR_CT_EXOC1614,Unknown institution, ,DEPH PHOS ALK3 PHPH TEMP SLCA DOX1 PSAL,46.98000,37.57000,1955-10-23T10:10:12Z
EXOC1616,2020-01-26T19:17:39Z,2020-01-26T19:17:39Z, ,GL_PR_CT_EXOC1616,Unknown institution, ,DEPH TEMP PSAL,44.90000,37.30000,1960-03-19T07:00:00Z
EXOC1649,2020-01-26T19:19:10Z,2020-01-26T19:19:10Z, ,GL_PR_CT_EXOC1649,Unknown institution, ,DEPH ALK3 DOX1 PHPH TEMP SLCA PSAL PHOS,45.37000,36.72000,1973-10-12T07:00:00Z
EXOC1761,2020-01-26T19:23:29Z,2020-01-26T19:23:29Z, ,GL_PR_CT_EXOC1761,Unknown institution, ,DEPH PRES SLCA PSAL PHOS TEMP DOX1,44.78000,36.63000,1970-05-25T23:00:00Z
FNIN,2021-01-06T12:53:30Z,2021-01-06T12:53:30Z, ,BS_PR_CT_FNIN_2004,IFREMER / GM-MARINE GEOSCIENCES,486,PRES TEMP PSAL,44.0002,29.9007,2004-05-21T16:07:00Z
HO6428,2021-01-06T12:53:31Z,2021-01-06T12:53:31Z, ,BS_PR_CT_HO6428_2002,IFREMER / GM-MARINE GEOSCIENCES,486,PRES TEMP PSAL,43.3667,31.7333,2002-09-02T16:51:00Z
HRMC,2021-01-06T12:53:31Z,2021-01-06T12:53:31Z, ,BS_PR_CT_HRMC_2007,Hellenic Centre for Marine Research - Institute of Oceanography (HCMR/IO),269,PRES TEMP PSAL,44.3415,29.3323,2007-10-12T05:45:00Z
